City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Bandarbeyla,SO,78.03,broken clouds,9.4942,50.8122,JABIR HOTEL
119,Nantucket,US,81.01,scattered clouds,41.2835,-70.0995,Jared Coffin House
122,Bennington,US,78.53,scattered clouds,42.8781,-73.1968,Best Western Bennington
124,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
131,Victoria,HK,82.36,light rain,22.2855,114.1577,Mini Hotel Central
132,Pontalina,BR,76.51,clear sky,-17.525,-49.4472,Hotel Entre Rios
134,Bac Lieu,VN,80.19,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
139,Biak,ID,76.33,scattered clouds,-0.9131,122.8766,Penginapan Kim
140,Calibutbut,PH,78.39,light rain,15.1114,120.6053,Gattoc Residence
144,Indapur,IN,76.75,broken clouds,18.3,73.25,Hotel Open Umbrella
149,Torrington,US,81.39,broken clouds,41.8007,-73.1212,The Yankee Pedlar Inn
153,Bhanvad,IN,79.72,overcast clouds,21.9264,69.7736,Mahalaxmi farshan
155,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
156,Ibra,OM,81.66,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
157,Port Moresby,PG,78.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
163,Georgetown,MY,76.95,haze,5.4112,100.3354,Cititel Penang
177,Muroto,JP,80.64,light rain,33.2833,134.15,Oota Ryokan
180,Gizo,SB,82.26,moderate rain,-8.103,156.8419,Imagination Island
181,San Quintin,MX,77.27,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
188,Manokwari,ID,80.44,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
204,Sena Madureira,BR,82.71,overcast clouds,-9.0656,-68.6569,Hotel Central
205,Kavaratti,IN,80.94,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
209,Shimoda,JP,79.86,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
217,Vanimo,PG,80.89,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
219,Evanston,US,80.58,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
224,Tahoua,NE,82.38,clear sky,14.8888,5.2692,Bungalows Guesthouse
225,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
226,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
227,Jaciara,BR,78.78,clear sky,-15.9653,-54.9683,Taba Hotel
230,Willoughby,US,75.07,clear sky,41.6398,-81.4065,"Holiday Inn Cleveland Northeast - Mentor, an IHG Hotel"
236,Sabalgarh,IN,80.62,broken clouds,26.25,77.4,Kailadevi studio
238,Marquette,US,75.78,clear sky,46.5333,-87.6335,Al Quaal Lodge
239,Marsala,IT,82.94,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
240,Sorong,ID,78.49,broken clouds,-0.8833,131.25,waigo splash hotel
242,Manzanillo,CU,83.26,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
246,Porto Torres,IT,75.38,clear sky,40.835,8.3972,Hotel Elisa
