City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Vanimo,PG,-2.6741,141.3028,80.89,79,88,6.89,overcast clouds
218,Lasa,IT,46.6166,10.7002,69.03,86,77,2.89,broken clouds
219,Evanston,US,42.0411,-87.6901,80.58,42,96,1.01,overcast clouds
220,Ahuimanu,US,21.4447,-157.8378,86.77,62,12,15.39,few clouds
221,Adrar,MR,20.5022,-10.0711,97.47,16,45,6.13,scattered clouds
222,Arcachon,FR,44.5875,-1.0519,72.41,94,75,4.61,broken clouds
223,Champasak,LA,14.75,106.0,72.01,100,100,1.21,overcast clouds
224,Tahoua,NE,14.8888,5.2692,82.38,74,0,4.61,clear sky
225,Nhulunbuy,AU,-12.2333,136.7667,79.41,78,90,11.5,overcast clouds
226,Alofi,NU,-19.0595,-169.9187,75.09,64,27,17.27,scattered clouds
227,Jaciara,BR,-15.9653,-54.9683,78.78,34,0,5.39,clear sky
228,Seymchan,RU,62.8833,152.4333,57.6,63,40,17.34,scattered clouds
229,Opotiki,NZ,-38.0833,177.2833,55.15,49,3,2.95,clear sky
230,Willoughby,US,41.6398,-81.4065,75.07,62,1,8.05,clear sky
231,Sao Filipe,CV,14.8961,-24.4956,74.93,79,71,9.17,broken clouds
232,Muzhi,RU,65.3667,64.6667,59.95,67,50,21.0,scattered clouds
233,Rosiori,RO,44.8,27.3833,64.06,64,0,4.99,clear sky
234,Camargo,MX,27.6667,-105.1667,88.9,27,59,9.91,broken clouds
235,Mehriz,IR,31.5917,54.4318,86.5,20,0,0.67,clear sky
236,Sabalgarh,IN,26.25,77.4,80.62,78,61,8.57,broken clouds
237,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.14,32,43,2.1,scattered clouds
238,Marquette,US,46.5333,-87.6335,75.78,56,7,3.76,clear sky
239,Marsala,IT,37.7966,12.4352,82.94,68,0,3.42,clear sky
240,Sorong,ID,-0.8833,131.25,78.49,83,64,3.04,broken clouds
241,Dikson,RU,73.5069,80.5464,49.46,94,100,15.77,overcast clouds
242,Manzanillo,CU,20.3433,-77.1167,83.26,68,60,6.64,broken clouds
243,Luba,GQ,3.4568,8.5547,77.83,85,36,7.23,scattered clouds
244,Oranjemund,NA,-28.55,16.4333,58.15,46,0,7.78,clear sky
245,Luanda,AO,-8.8368,13.2343,71.6,88,0,9.22,clear sky
246,Porto Torres,IT,40.835,8.3972,75.38,67,0,2.93,clear sky
247,Tecoanapa,MX,16.5167,-98.75,85.53,66,15,7.27,few clouds
248,Imeni Poliny Osipenko,RU,52.4201,136.4853,65.48,71,0,5.39,clear sky
249,Baykit,RU,61.67,96.37,55.65,94,100,3.58,overcast clouds
250,Lodja,CD,-3.4833,23.4333,70.83,83,73,1.39,broken clouds
251,Tanggu,CN,39.0211,117.6469,73.36,71,20,4.99,few clouds
252,Vestmannaeyjar,IS,63.4427,-20.2734,54.3,83,44,20.07,scattered clouds
253,Ahipara,NZ,-35.1667,173.1667,56.61,56,70,7.94,broken clouds
254,Den Helder,NL,52.9599,4.7593,66.18,83,90,11.5,overcast clouds
255,Jalu,LY,29.0331,21.5482,84.49,36,0,14.97,clear sky
256,Pevek,RU,69.7008,170.3133,36.25,96,100,17.18,overcast clouds
257,Shaoxing,CN,30.011,120.5715,75.15,98,100,1.23,overcast clouds
258,Cockburn Town,TC,21.4612,-71.1419,82.36,78,40,11.5,scattered clouds
259,Ulladulla,AU,-35.35,150.4667,58.87,50,70,6.96,broken clouds
260,Burnie,AU,-41.0667,145.9167,53.24,82,95,23.62,light rain
261,Birao,CF,10.2849,22.7882,71.47,95,85,1.3,light rain
262,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,8.05,clear sky
263,Port Hawkesbury,CA,45.6169,-61.3485,79.59,86,1,1.99,clear sky
264,Kavieng,PG,-2.5744,150.7967,84.92,71,14,14.52,light rain
265,Janauba,BR,-15.8025,-43.3089,74.8,33,0,9.62,clear sky
266,Cortes,ES,41.9395,-1.4396,95.05,60,71,9.17,broken clouds
267,Suntar,RU,62.1444,117.6319,66.04,89,95,4.72,overcast clouds
268,Wamba,NG,8.9333,8.6,72.07,96,91,4.09,light rain
269,Landskrona,SE,55.8708,12.8302,61.93,85,87,18.63,overcast clouds
270,Saint-Paul,RE,-21.0096,55.2707,69.91,79,22,12.06,few clouds
271,Abu Kamal,SY,34.4506,40.9171,87.91,31,0,14.41,clear sky
272,Lazaro Cardenas,MX,17.9583,-102.2,84.7,77,47,7.56,scattered clouds
273,Carutapera,BR,-1.195,-46.02,75.92,89,59,5.88,broken clouds
274,Tuatapere,NZ,-46.1333,167.6833,51.82,78,96,6.78,overcast clouds
275,Torbay,CA,47.6666,-52.7314,74.17,92,75,2.3,broken clouds
276,Saint-Leu,RE,-21.15,55.2833,68.86,78,66,17.6,broken clouds
277,Flin Flon,CA,54.7682,-101.865,85.84,39,75,10.36,broken clouds
278,Fengcheng,CN,40.4536,124.0717,68.9,88,22,1.61,few clouds
279,Falam,MM,22.9167,93.6833,63.39,99,100,2.82,overcast clouds
280,Taoudenni,ML,22.6783,-3.9836,100.63,10,60,3.69,broken clouds
281,Siderno,IT,38.2779,16.302,83.84,50,0,6.04,clear sky
282,Lagoa,PT,39.05,-27.9833,71.73,84,40,13.22,scattered clouds
283,Ziarat,PK,30.3823,67.7282,62.91,58,0,1.61,clear sky
284,Zelenoborsk,RU,61.4669,64.0333,59.2,73,29,9.69,scattered clouds
285,Yulara,AU,-25.2406,130.9889,51.64,40,6,5.75,clear sky
286,Cozumel,MX,20.5083,-86.9458,88.95,72,8,1.99,clear sky
287,Turayf,SA,31.6725,38.6637,79.05,47,0,13.8,clear sky
288,Banda Aceh,ID,5.5577,95.3222,78.89,79,100,13.06,overcast clouds
289,Lata,PT,40.1629,-8.3327,65.05,91,52,1.79,broken clouds
290,Berlevag,NO,70.8578,29.0864,46.56,84,30,7.14,scattered clouds
291,Mitsamiouli,KM,-11.3847,43.2844,77.14,72,0,8.61,clear sky
292,Beliu,RO,46.4833,21.9833,73.22,51,7,6.22,clear sky
293,La Brea,HN,15.8,-85.9667,87.31,70,81,0.0,broken clouds
294,Kouango,CF,4.9934,19.9619,70.92,97,11,2.73,few clouds
295,Kahului,US,20.8947,-156.47,85.96,73,13,10.8,few clouds
296,Tabas,IR,33.5959,56.9244,84.04,19,0,2.15,clear sky
297,Tual,ID,-5.6667,132.75,79.41,86,88,19.08,overcast clouds
298,Henties Bay,NA,-22.116,14.2845,55.85,77,0,8.79,clear sky
