City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Victoria,HK,2021-08-14 00:50:15,22.2855,114.1577,82.33,89,100,11.54
122,Vao,NC,2021-08-14 00:54:33,-22.6667,167.4833,66.16,65,20,17.47
123,Verkhnevilyuysk,RU,2021-08-14 00:54:33,63.4453,120.3167,74.43,53,48,3.44
124,Aitape,PG,2021-08-14 00:54:33,-3.1374,142.3475,85.87,65,46,5.46
125,The Pas,CA,2021-08-14 00:54:34,53.8251,-101.2541,75.22,43,1,5.3
126,Saskylakh,RU,2021-08-14 00:54:34,71.9167,114.0833,51.75,70,100,7.78
127,Hamilton,US,2021-08-14 00:54:22,39.1834,-84.5333,83.25,74,90,0.0
128,Nago,JP,2021-08-14 00:54:34,26.5881,127.9761,86.43,81,100,14.92
129,Kapuskasing,CA,2021-08-14 00:54:35,49.4169,-82.4331,57.29,88,90,6.91
130,Flagstaff,US,2021-08-14 00:53:01,35.1981,-111.6513,81.1,62,1,4.0
131,Moose Factory,CA,2021-08-14 00:54:35,51.2585,-80.6094,57.2,88,90,6.91
132,San Andres,CO,2021-08-14 00:50:07,12.5847,-81.7006,82.42,89,90,8.05
133,Esperance,AU,2021-08-14 00:54:36,-33.8667,121.9,51.64,53,0,9.89
134,Bay Roberts,CA,2021-08-14 00:54:36,47.5999,-53.2648,67.51,94,100,3.0
135,Ribeira Grande,PT,2021-08-14 00:54:36,38.5167,-28.7,72.77,88,30,16.17
136,Sitio Novo Do Tocantins,BR,2021-08-14 00:54:37,-5.5183,-47.4611,79.2,56,7,4.05
137,Naze,JP,2021-08-14 00:54:37,28.3667,129.4833,83.32,79,97,18.23
138,Pemangkat,ID,2021-08-14 00:54:37,1.1667,108.9667,79.29,84,84,5.95
139,Port Blair,IN,2021-08-14 00:54:38,11.6667,92.75,82.74,80,100,11.43
140,Kichera,RU,2021-08-14 00:54:38,55.9375,110.0997,70.12,59,18,3.94
141,Balikpapan,ID,2021-08-14 00:50:27,-1.2675,116.8289,83.39,84,20,6.91
142,Puerto Ayora,EC,2021-08-14 00:54:38,-0.7393,-90.3518,68.25,80,24,7.61
143,Nuuk,GL,2021-08-14 00:54:40,64.1835,-51.7216,47.71,80,100,24.38
144,Kruisfontein,ZA,2021-08-14 00:54:40,-34.0033,24.7314,45.88,80,48,3.0
145,Navrongo,GH,2021-08-14 00:54:40,10.8956,-1.0921,73.71,91,100,5.3
146,Caramay,PH,2021-08-14 00:54:41,10.1815,119.236,84.51,66,100,2.44
147,Talnakh,RU,2021-08-14 00:54:41,69.4865,88.3972,52.92,77,100,5.93
148,Victor Harbor,AU,2021-08-14 00:54:41,-35.5667,138.6167,62.47,76,0,1.01
